[2017-10-21 11:42:18,479] [WARNING] [CONSUMER-149][国产剧]大宅院的女人...未绑定分类，跳过。
[2017-10-21 11:42:18,480] [WARNING] [CONSUMER-150][日韩剧]邻居冤家...未绑定分类，跳过。
[2017-10-21 11:42:18,480] [WARNING] [CONSUMER-151][国产剧]江湖绝恋...未绑定分类，跳过。
[2017-10-21 11:42:18,480] [WARNING] [CONSUMER-152][国产剧]泪洒尘缘...未绑定分类，跳过。
[2017-10-21 11:42:18,482] [WARNING] [CONSUMER-153][国产剧]合适婚姻...未绑定分类，跳过。
[2017-10-21 11:42:18,483] [WARNING] [CONSUMER-154][国产剧]父爱如山...未绑定分类，跳过。
[2017-10-21 11:42:18,483] [WARNING] [CONSUMER-155][国产剧]徽州女人...未绑定分类，跳过。
[2017-10-21 11:42:18,483] [WARNING] [CONSUMER-156][国产剧]哑女...未绑定分类，跳过。
[2017-10-21 11:42:18,483] [WARNING] [CONSUMER-157][国产剧]一家不说两家话...未绑定分类，跳过。
[2017-10-21 11:42:18,484] [WARNING] [CONSUMER-158][国产剧]等到胜利那一天...未绑定分类，跳过。
[2017-10-21 11:42:18,486] [WARNING] [CONSUMER-159][国产剧]东京生死恋...未绑定分类，跳过。
[2017-10-21 11:42:18,486] [WARNING] [CONSUMER-160][国产剧]阿喜...未绑定分类，跳过。
[2017-10-21 11:42:18,486] [DEBUG] [PRODUCER-qiyi]page:8:crawling finished.
[2017-10-21 11:42:18,486] [INFO] [PRODUCER-qiyi]采集次数:160,新增入库:13条,新增加播放组:2条,更新播放组:0条。
[2017-10-21 11:42:18,487] [DEBUG] [PRODUCER-qiyi]page:9:crawling...http://api.2m.vc/caij/inc/qiyi.php?ac=videolist&pg=9&h=
[2017-10-21 11:42:18,933] [WARNING] [CONSUMER-161][国产剧]爱上男主播...未绑定分类，跳过。
[2017-10-21 11:42:18,934] [WARNING] [CONSUMER-162][喜剧片]强悍...未绑定分类，跳过。
[2017-10-21 11:42:18,941] [INFO] [CONSUMER-163][剧情片]你好，卡特...新加入库，成功。
[2017-10-21 11:42:18,943] [WARNING] [CONSUMER-164][爱情片]宝米恰恰...未绑定分类，跳过。
[2017-10-21 11:42:18,944] [WARNING] [CONSUMER-165][国产剧]城北人...未绑定分类，跳过。
[2017-10-21 11:42:18,944] [WARNING] [CONSUMER-166][国产剧]骗局...未绑定分类，跳过。
[2017-10-21 11:42:18,947] [WARNING] [CONSUMER-167][国产剧]爱情公寓那些事儿...未绑定分类，跳过。
[2017-10-21 11:42:18,947] [WARNING] [CONSUMER-168][国产剧]难为女儿红...未绑定分类，跳过。
[2017-10-21 11:42:18,948] [WARNING] [CONSUMER-169][国产剧]卧薪尝胆...未绑定分类，跳过。
[2017-10-21 11:42:18,950] [WARNING] [CONSUMER-170][国产剧]锁清秋...未绑定分类，跳过。
[2017-10-21 11:42:18,951] [WARNING] [CONSUMER-171][日韩剧]你笑了...未绑定分类，跳过。
[2017-10-21 11:42:18,953] [WARNING] [CONSUMER-172][国产剧]雨季不再来...未绑定分类，跳过。
[2017-10-21 11:42:18,953] [WARNING] [CONSUMER-173][国产剧]无意背叛...未绑定分类，跳过。
[2017-10-21 11:42:18,954] [WARNING] [CONSUMER-174][国产剧]白领公寓...未绑定分类，跳过。
[2017-10-21 11:42:18,956] [WARNING] [CONSUMER-175][国产剧]女巡按...未绑定分类，跳过。
[2017-10-21 11:42:18,957] [WARNING] [CONSUMER-176][国产剧]海的誓言...未绑定分类，跳过。
[2017-10-21 11:42:18,957] [WARNING] [CONSUMER-177][国产剧]好人李成功...未绑定分类，跳过。
[2017-10-21 11:42:18,957] [WARNING] [CONSUMER-178][国产剧]生命因你而美丽...未绑定分类，跳过。
[2017-10-21 11:42:18,957] [WARNING] [CONSUMER-179][国产剧]离婚进行时...未绑定分类，跳过。
[2017-10-21 11:42:18,959] [WARNING] [CONSUMER-180][国产剧]巴黎恋歌...未绑定分类，跳过。
